ID,Income,Debt,Credit_History_Length,Number_of_Credit_Accounts,Credit_Utilization,Payment_History,Loan_Type,Default_History,Employment_Status,Age,Residence_Status,Education_Level,Marital_Status,Number_of_Dependents,Recent_Credit_Inquiries,Existing_Savings,CIBIL_Score
1,34380,47067,4,9,0.366019712960998,45.1044849999068,Home Loan,0,Salaried,60,Owned,Master’s,Divorced,1,5,34798,300
2,137446,36325,14,10,0.0273312545238015,1.71566529507947,Auto Loan,3,Self-employed,40,Mortgaged,Doctorate,Married,4,4,51734,348.130373861826
3,40699,33818,14,1,0.3540812754141,14.1363531425923,Credit Card,3,Self-employed,25,Mortgaged,Doctorate,Married,5,3,86277,300
4,85377,33418,10,9,0.170560310184092,89.3872740019523,Auto Loan,2,Salaried,37,Mortgaged,High School,Single,1,3,26477,362.465605982567
5,103792,15906,15,1,0.344460610555323,52.1110031083616,Home Loan,0,Self-employed,34,Rented,High School,Married,2,0,52692,536.274107165315
6,63647,13157,9,9,0.343244030277062,22.7889301713858,Auto Loan,1,Unemployed,59,Rented,Doctorate,Divorced,2,2,35881,438.71639539132
7,97404,28275,17,7,0.924537467092031,62.2448921730424,Credit Card,0,Salaried,65,Mortgaged,Master’s,Divorced,1,5,4129,467.229699377318
8,112669,11021,12,7,0.995885010776639,51.7502204658771,Personal Loan,2,Unemployed,19,Owned,Doctorate,Divorced,3,0,28108,401.294275821941
9,53552,13126,19,5,0.115827387239997,36.3039133457456,Credit Card,5,Salaried,62,Rented,High School,Married,0,0,48677,341.640551282206
10,45384,6753,4,4,0.925845643805887,28.8243477089279,Home Loan,4,Self-employed,44,Rented,Bachelor’s,Married,4,0,63766,300
11,80997,27435,16,4,0.807313119123869,41.0690661078081,Home Loan,1,Salaried,23,Mortgaged,Doctorate,Married,3,2,23030,386.626221141517
12,70591,1689,8,4,0.822300367754197,80.3990409818611,Credit Card,1,Self-employed,58,Rented,Bachelor’s,Married,3,4,70575,446.585150382178
13,129204,24172,4,2,0.386716627124096,91.4526892641739,Home Loan,5,Self-employed,50,Owned,Bachelor’s,Divorced,2,5,52984,300
14,99858,42866,12,5,0.95584427881542,43.6716034853238,Auto Loan,0,Salaried,65,Rented,High School,Divorced,4,1,40476,323.49337386112
